TENTATIVE LIST OF INSTITUTES AND INTAKE 2026-27
1. नवीन पाठ्यक्रमों/संस्थाओं की जानकारी, विश्‍वविद्यालय की संबद्धता/ए.एफ़.आर.सी. द्वारा प्राप्त फीस निर्धारण के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
2. प्रवेश क्षमता में वृद्धि की जानकारी, विश्‍वविद्यालय की संबद्धता के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
3. संस्थाएं पॉर्टल पर प्रदर्शित जानकारी का अवलोकन कर जानकारी में किसी भी प्रकार की त्रुटि को विभाग के संज्ञान में लाकर यथा संशोधन करवाना सुनिश्चित करें|
S. No.	College ID	Institute Name	Branch	Intake	10% in BE and BPHARM of Last Year Intake	First year vacancy of 2025	Institute Type	AICTE Code	Remark	AFRC/Govt. Fee Status	University
274	0070	Kailash Narayan Patidar College of Science & Technology, Bhopal (2008)	Electronics and Communication Engineering	6	6	 	Private	1-7073935	 	 	RGPV,BHOPAL
275	0070	Kailash Narayan Patidar College of Science & Technology, Bhopal (2008)	Electrical Engineering	6	6	 	private	1-7073935	 	 	RGPV,BHOPAL
276	0070	Kailash Narayan Patidar College of Science & Technology, Bhopal (2008)	Mechanical Engineering	9	9	 	Private	1-7073935	 	 	RGPV,BHOPAL
277	0136	Lakshmi Narain College of Technology & Science (RIT), Indore (2002)	Civil Engineering	3	3	 	Private	1-11885876	 	 	RGPV,BHOPAL
278	0136	Lakshmi Narain College of Technology & Science (RIT), Indore (2002)	Computer Science and Engineering	12	12	 	PRIVATE	1-11885876	 	 	RGPV,BHOPAL
279	0136	Lakshmi Narain College of Technology & Science (RIT), Indore (2002)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-11885876	 	 	RGPV,BHOPAL
280	0136	Lakshmi Narain College of Technology & Science (RIT), Indore (2002)	Mechanical Engineering	3	3	 	PRIVATE	1-11885876	 	 	RGPV,BHOPAL
281	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	Civil Engineering	3	3	 	Private	1-5931131	 	 	RGPV,BHOPAL
282	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	Computer Science and Engineering	18	18	 	PRIVATE	1-5931131	 	 	RGPV,BHOPAL
283	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	12	12	 	Private	1-5931131	 	 	RGPV,BHOPAL
284	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	18	18	 	Private	1-5931131	 	 	RGPV,BHOPAL
285	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-5931131	 	 	RGPV,BHOPAL
286	0075	Lakshmi Narain College of Technology & Science, Bhopal (2006)	Mechanical Engineering	3	3	 	PRIVATE	1-5931131	 	 	RGPV,BHOPAL
287	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	Computer Science and Engineering	18	18	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
288	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	12	12	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
289	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	12	12	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
290	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
291	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	Electronics and Communication (Advanced Communication Technology)	6	6	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
292	0041	Lakshmi Narain College of Technology Excellence, Bhopal (2007)	Mechanical Engineering	3	3	 	PRIVATE	1-6486163	 	 	RGPV,BHOPAL
293	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Civil Engineering	6	6	 	Private	1-5800621	 	 	RGPV,BHOPAL
294	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Computer Science and Engineering	36	36	 	PRIVATE	1-5800621	 	 	RGPV,BHOPAL
295	0077	Lakshmi Narain College of Technology, Bhopal (1994)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE)	18	18	 	Private	1-5800621	 	 	RGPV,BHOPAL
296	0077	Lakshmi Narain College of Technology, Bhopal (1994)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	36	36	 	Private	1-5800621	 	 	RGPV,BHOPAL
297	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Electronics and Communication Engineering	18	18	 	PRIVATE	1-5800621	 	 	RGPV,BHOPAL
298	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Electronics and Communication (Advanced Communication Technology)	6	6	 	Private	1-5800621	 	 	RGPV,BHOPAL
299	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-5800621	 	 	RGPV,BHOPAL
300	0077	Lakshmi Narain College of Technology, Bhopal (1994)	Mechanical Engineering	6	6	 	PRIVATE	1-5800621	 	 	RGPV,BHOPAL
301	0078	Lakshmi Narain College of Technology, Indore (2004)	Computer Science and Engineering	18	18	 	PRIVATE	1-10912721	 	 	RGPV,BHOPAL
302	0078	Lakshmi Narain College of Technology, Indore (2004)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-10912721	 	 	RGPV,BHOPAL
303	0078	Lakshmi Narain College of Technology, Indore (2004)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-10912721	 	 	RGPV,BHOPAL
304	0078	Lakshmi Narain College of Technology, Indore (2004)	Mechanical Engineering	3	3	 	PRIVATE	1-10912721	 	 	RGPV,BHOPAL
305	0076	Lakshmi Narain College of Technology, Jabalpur (2008)	Civil Engineering	6	6	 	Private	1-6244931	 	 	RGPV,BHOPAL
306	0076	Lakshmi Narain College of Technology, Jabalpur (2008)	Computer Science and Engineering	6	6	 	PRIVATE	1-6244931	 	 	RGPV,BHOPAL
307	0076	Lakshmi Narain College of Technology, Jabalpur (2008)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Private	1-6244931	 	 	RGPV,BHOPAL
308	0076	Lakshmi Narain College of Technology, Jabalpur (2008)	Mechanical Engineering	6	6	 	PRIVATE	1-6244931	 	 	RGPV,BHOPAL
309	0076	Lakshmi Narain College of Technology, Jabalpur (2008)	MINING AND MINERAL PROCESSING	6	6	 	Private	1-6244931	 	 	RGPV,BHOPAL
310	0081	LAXMIPATI INSTITUTE OF SCIENCE & TECHNOLOGY, BHOPAL (2008)	Civil Engineering	6	6	 	Private	1-5367771	 	 	RGPV,BHOPAL
311	0081	LAXMIPATI INSTITUTE OF SCIENCE & TECHNOLOGY, BHOPAL (2008)	Computer Science and Engineering	6	6	 	PRIVATE	1-5367771	 	 	RGPV,BHOPAL
312	0081	LAXMIPATI INSTITUTE OF SCIENCE & TECHNOLOGY, BHOPAL (2008)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-5367771	 	 	RGPV,BHOPAL
313	0081	LAXMIPATI INSTITUTE OF SCIENCE & TECHNOLOGY, BHOPAL (2008)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-5367771	 	 	RGPV,BHOPAL
314	0081	LAXMIPATI INSTITUTE OF SCIENCE & TECHNOLOGY, BHOPAL (2008)	Mechanical Engineering	6	6	 	PRIVATE	1-5367771	 	 	RGPV,BHOPAL
315	0082	LNCT (BHOPAL) INDORE CAMPUS (2006)	Civil Engineering	6	6	 	Private	1-5726191	 	 	RGPV,BHOPAL
316	0082	LNCT (BHOPAL) INDORE CAMPUS (2006)	Computer Science and Engineering	18	18	 	PRIVATE	1-5726191	 	 	RGPV,BHOPAL
317	0082	LNCT (BHOPAL) INDORE CAMPUS (2006)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-5726191	 	 	RGPV,BHOPAL
318	0082	LNCT (BHOPAL) INDORE CAMPUS (2006)	Mechanical Engineering	3	3	 	PRIVATE	1-5726191	 	 	RGPV,BHOPAL
319	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	ARTIFICIAL INTELLIGENCE	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
320	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Artificial Intelligence (AI) and Data Science	6	6	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
321	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6	6	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
322	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Chemical Engineering	51	6	45	Government Aided [Branch Type-Self Finance]	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
323	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Civil Engineering	58	12	46	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
324	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	COMPUTER SCIENCE AND BUSINESS SYSTEM	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
325	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Computer Science and Design	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
326	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Computer Science and Engineering	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
327	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Computer Science and Technology	6	6	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
328	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	ELECTRICAL AND COMPUTER ENGINEERING	6	6	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
329	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Electrical Engineering	61	12	49	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
330	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Electronics	15	12	3	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
331	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Electronics and Telecommunications	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
332	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	INTERNET OF THINGS(IOT)	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
333	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Information Technology	12	12	 	Government Aided [Branch Type-Self Finance]	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
334	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	INFORMATION TECHNOLOGY(ARTIFICIAL INTELLIGENCE AND ROBOTICS)	6	6	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
335	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	MATHEMATICS AND COMPUTING	12	12	 	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
336	0039	Madhav Institute of Technology and Science, Gwalior (1957) (Deemed University)	Mechanical Engineering	74	12	62	Government Aided	1-10746341	 	 	MADHAV INSTITUTE OF TECHNOLOGY AND SCIENCE, GWALIOR (DEEMED UNIVERSITY)
337	0085	Mahakal Institute Technology & Management, Ujjain (2007)	Civil Engineering	3	3	 	Private	1-6220393	 	 	RGPV,BHOPAL
338	0085	Mahakal Institute Technology & Management, Ujjain (2007)	Computer Science and Engineering	12	12	 	PRIVATE	1-6220393	 	 	RGPV,BHOPAL
339	0087	Mahakal Instute of Technology, Ujjain (2001)	Artificial Intelligence (AI) and Data Science	6	6	 	Private	1-6020731	 	 	RGPV,BHOPAL
340	0087	Mahakal Instute of Technology, Ujjain (2001)	Civil Engineering	3	3	 	Private	1-6020731	 	 	RGPV,BHOPAL
341	0087	Mahakal Instute of Technology, Ujjain (2001)	Computer Science and Engineering	18	18	 	PRIVATE	1-6020731	 	 	RGPV,BHOPAL
342	0087	Mahakal Instute of Technology, Ujjain (2001)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	3	3	 	Private	1-6020731	 	 	RGPV,BHOPAL
343	0087	Mahakal Instute of Technology, Ujjain (2001)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-6020731	 	 	RGPV,BHOPAL
344	0087	Mahakal Instute of Technology, Ujjain (2001)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-6020731	 	 	RGPV,BHOPAL
345	0087	Mahakal Instute of Technology, Ujjain (2001)	Information Technology	3	3	 	PRIVATE	1-6020731	 	 	RGPV,BHOPAL
346	0087	Mahakal Instute of Technology, Ujjain (2001)	Mechanical Engineering	3	3	 	PRIVATE	1-6020731	 	 	RGPV,BHOPAL
347	0089	Maharana Pratap College of Technology, Gwalior (1996)	Civil Engineering	6	6	 	Private	1-8617021	 	 	RGPV,BHOPAL
348	0089	Maharana Pratap College of Technology, Gwalior (1996)	Computer Science and Engineering	6	6	 	PRIVATE	1-8617021	 	 	RGPV,BHOPAL
349	0089	Maharana Pratap College of Technology, Gwalior (1996)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-8617021	 	 	RGPV,BHOPAL
350	0089	Maharana Pratap College of Technology, Gwalior (1996)	Electrical Engineering	3	3	 	PRIVATE	1-8617021	 	 	RGPV,BHOPAL
351	0089	Maharana Pratap College of Technology, Gwalior (1996)	Information Technology	3	3	 	PRIVATE	1-8617021	 	 	RGPV,BHOPAL
352	0089	Maharana Pratap College of Technology, Gwalior (1996)	Mechanical Engineering	6	6	 	PRIVATE	1-8617021	 	 	RGPV,BHOPAL
353	0092	Malwa Institute of Science & Technology, Indore (2008)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6	6	 	Private	1-2018111	 	 	RGPV,BHOPAL
354	0092	Malwa Institute of Science & Technology, Indore (2008)	Civil Engineering	6	6	 	Private	1-2018111	 	 	RGPV,BHOPAL
355	0092	Malwa Institute of Science & Technology, Indore (2008)	Computer Science and Engineering	12	12	 	Private	1-2018111	 	 	RGPV,BHOPAL
356	0092	Malwa Institute of Science & Technology, Indore (2008)	Electronics and Communication Engineering	6	6	 	Private	1-2018111	 	 	RGPV,BHOPAL
357	0092	Malwa Institute of Science & Technology, Indore (2008)	Information Technology	6	6	 	Private	1-2018111	 	 	RGPV,BHOPAL
358	0092	Malwa Institute of Science & Technology, Indore (2008)	Mechanical Engineering	6	6	 	Private	1-2018111	 	 	RGPV,BHOPAL
359	0094	Malwa Institute of Technology, Indore (2004)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	3	3	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
360	0094	Malwa Institute of Technology, Indore (2004)	Automobile Engineering	3	3	 	private	1-10811151	 	 	RGPV,BHOPAL
361	0094	Malwa Institute of Technology, Indore (2004)	Civil Engineering	3	3	 	Private	1-10811151	 	 	RGPV,BHOPAL
362	0094	Malwa Institute of Technology, Indore (2004)	Computer Science and Engineering	18	18	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
363	0094	Malwa Institute of Technology, Indore (2004)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
364	0094	Malwa Institute of Technology, Indore (2004)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
365	0094	Malwa Institute of Technology, Indore (2004)	Information Technology	6	6	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
366	0094	Malwa Institute of Technology, Indore (2004)	Mechanical Engineering	6	6	 	PRIVATE	1-10811151	 	 	RGPV,BHOPAL
367	0097	Mathura Devi Institute of Technology & Management, Indore (2007)	Civil Engineering	3	3	 	Private	1-5755071	 	 	RGPV,BHOPAL
368	0097	Mathura Devi Institute of Technology & Management, Indore (2007)	Computer Science and Engineering	6	6	 	PRIVATE	1-5755071	 	 	RGPV,BHOPAL
369	0097	Mathura Devi Institute of Technology & Management, Indore (2007)	Mechanical Engineering	3	3	 	PRIVATE	1-5755071	 	 	RGPV,BHOPAL
370	0102	Millenium Institute of Technology and Science, Bhopal (2007)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	3	3	 	Private	1-9569051	 	 	RGPV,BHOPAL
371	0102	Millenium Institute of Technology and Science, Bhopal (2007)	Civil Engineering	9	9	 	Private	1-9569051	 	 	RGPV,BHOPAL
372	0102	Millenium Institute of Technology and Science, Bhopal (2007)	Computer Science and Engineering	12	12	 	PRIVATE	1-9569051	 	 	RGPV,BHOPAL
373	0102	Millenium Institute of Technology and Science, Bhopal (2007)	Electronics and Communication Engineering	9	9	 	PRIVATE	1-9569051	 	 	RGPV,BHOPAL
374	0102	Millenium Institute of Technology and Science, Bhopal (2007)	Electrical & Electronics Engineering	9	9	 	PRIVATE	1-9569051	 	 	RGPV,BHOPAL
375	0102	Millenium Institute of Technology and Science, Bhopal (2007)	Mechanical Engineering	9	9	 	PRIVATE	1-9569051	 	 	RGPV,BHOPAL
376	0101	Millenium Institute of Technology, Bhopal (2009)	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	3	3	 	PRIVATE	1-11405511	 	 	RGPV,BHOPAL
377	0101	Millenium Institute of Technology, Bhopal (2009)	AIRCRAFT MAINTENANCE ENGINEERING	3	3	 	PRIVATE	1-11405511	 	 	RGPV,BHOPAL
378	0101	Millenium Institute of Technology, Bhopal (2009)	Civil Engineering	9	9	 	Private	1-11405511	 	 	RGPV,BHOPAL
379	0101	Millenium Institute of Technology, Bhopal (2009)	Computer Science and Engineering	9	9	 	PRIVATE	1-11405511	 	 	RGPV,BHOPAL
380	0101	Millenium Institute of Technology, Bhopal (2009)	Mechanical Engineering	9	9	 	PRIVATE	1-11405511	 	 	RGPV,BHOPAL
381	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	Civil Engineering	6	6	 	Private	1-10261013	 	 	RGPV,BHOPAL
382	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	Computer Science and Engineering	6	6	 	PRIVATE	1-10261013	 	 	RGPV,BHOPAL
383	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE)	3	3	 	PRIVATE	1-10261013	 	 	RGPV,BHOPAL
384	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	Electronics and Communication Engineering	2	2	 	PRIVATE	1-10261013	 	 	RGPV,BHOPAL
385	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	Electrical Engineering	3	3	 	PRIVATE	1-10261013	 	 	RGPV,BHOPAL
386	0103	MITTAL INSTITUTE OF TECHNOLOGY, BHOPAL (2007)	Mechanical Engineering	6	6	 	PRIVATE	1-10261013	 	 	RGPV,BHOPAL
387	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Civil Engineering	3	3	 	Private	1-6343661	 	 	RGPV,BHOPAL
388	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Computer Science and Engineering	4	4	 	PRIVATE	1-6343661	 	 	RGPV,BHOPAL
389	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-6343661	 	 	RGPV,BHOPAL
390	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Electrical Engineering	3	3	 	PRIVATE	1-6343661	 	 	RGPV,BHOPAL
391	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Information Technology	3	3	 	PRIVATE	1-6343661	 	 	RGPV,BHOPAL
392	0105	Nagaji Institute of Technology & Management, Gwalior (2003)	Mechanical Engineering	3	3	 	PRIVATE	1-6343661	 	 	RGPV,BHOPAL
393	1036	Nowgong Engineering College, Nowgong (NEC) (2012)	Civil Engineering	6	6	 	Government Autonomous	1-1230746451	 	 	RGPV,BHOPAL
394	1036	Nowgong Engineering College, Nowgong (NEC) (2012)	Electrical Engineering	6	6	 	Government Autonomous	1-1230746451	 	 	RGPV,BHOPAL
395	1036	Nowgong Engineering College, Nowgong (NEC) (2012)	Electronics & Instrumentation	6	6	 	Government Autonomous	1-1230746451	 	 	RGPV,BHOPAL
396	1036	Nowgong Engineering College, Nowgong (NEC) (2012)	Mechanical Engineering	6	6	 	Government Autonomous	1-1230746451	 	 	RGPV,BHOPAL
397	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Civil Engineering	3	3	 	Private	1-5936076	 	 	RGPV,BHOPAL
398	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Computer Science and Engineering	12	12	 	PRIVATE	1-5936076	 	 	RGPV,BHOPAL
399	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	12	12	 	Private	1-5936076	 	 	RGPV,BHOPAL
400	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Computer Science and Information Technology	6	6	 	Private	1-5936076	 	 	RGPV,BHOPAL
401	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-5936076	 	 	RGPV,BHOPAL
402	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-5936076	 	 	RGPV,BHOPAL
403	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Information Technology	6	6	 	PRIVATE	1-5936076	 	 	RGPV,BHOPAL
404	0109	NRI Institute of Information Science & Technology, Bhopal (2001)	Mechanical Engineering	3	3	 	PRIVATE	1-5936076	 	 	RGPV,BHOPAL
405	1030	Oriental College of Technology, Bhopal (2002)	Civil Engineering	3	3	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
406	1030	Oriental College of Technology, Bhopal (2002)	Computer Science and Engineering	30	30	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
407	1030	Oriental College of Technology, Bhopal (2002)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	6	6	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
408	1030	Oriental College of Technology, Bhopal (2002)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	12	12	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
409	1030	Oriental College of Technology, Bhopal (2002)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	18	18	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
410	1030	Oriental College of Technology, Bhopal (2002)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
411	1030	Oriental College of Technology, Bhopal (2002)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
412	1030	Oriental College of Technology, Bhopal (2002)	Mechanical Engineering	3	3	 	PRIVATE	1-5171171	 	 	RGPV,BHOPAL
413	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Civil Engineering	6	6	 	Private	1-3589034	 	 	RGPV,BHOPAL
414	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Computer Science and Engineering	36	36	 	PRIVATE	1-3589034	 	 	RGPV,BHOPAL
415	0116	Oriental Institute of Science & Technology, Bhopal (1995)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	18	18	 	Private	1-3589034	 	 	RGPV,BHOPAL
416	0116	Oriental Institute of Science & Technology, Bhopal (1995)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	30	30	 	Private	1-3589034	 	 	RGPV,BHOPAL
417	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Electronics and Communication Engineering	12	12	 	PRIVATE	1-3589034	 	 	RGPV,BHOPAL
418	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-3589034	 	 	RGPV,BHOPAL
419	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Information Technology	6	6	 	PRIVATE	1-3589034	 	 	RGPV,BHOPAL
420	0116	Oriental Institute of Science & Technology, Bhopal (1995)	Mechanical Engineering	6	6	 	PRIVATE	1-3589034	 	 	RGPV,BHOPAL
421	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	Civil Engineering	6	6	 	Private	1-9131301	 	 	RGPV,BHOPAL
422	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	Computer Science and Engineering	12	12	 	Private	1-9131301	 	 	RGPV,BHOPAL
423	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Private	1-9131301	 	 	RGPV,BHOPAL
424	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)	6	6	 	Private	1-9131301	 	 	RGPV,BHOPAL
425	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	Electronics and Communication Engineering	6	6	 	Private	1-9131301	 	 	RGPV,BHOPAL
426	0118	PATEL COLLEGE OF SCIENCE & TECHNOLOGY, INDORE (2005)	Mechanical Engineering	6	6	 	Private	1-9131301	 	 	RGPV,BHOPAL
427	0123	Prashantee Institute of Technology & Science, Ujjain (2008)	Artificial Intelligence (AI) and Data Science	9	9	 	PRIVATE	1-5725961	 	 	RGPV,BHOPAL
428	0123	Prashantee Institute of Technology & Science, Ujjain (2008)	Civil Engineering	6	6	 	Private	1-5725961	 	 	RGPV,BHOPAL
