46,"BADERIAGLOBALINSTITUTEOFENGINEERING & amp; MANAGEMENT, JABALPUR",Private,CSEITCS,DIPPPT,2968,2968,UR/X/OP,N,1,2026
47,"BADERIAGLOBALINSTITUTEOFENGINEERING & amp; MANAGEMENT, JABALPUR",Private,MECH,DIPPPT,3034,3034,UR/X/OP,N,1,2026
48,"BADERIAGLOBALINSTITUTEOFENGINEERING & amp; MANAGEMENT, JABALPUR",Private,CSEIML,DIPPPT,906,3208,UR/X/OP,N,4,2026
49,"BADERIAGLOBALINSTITUTEOFENGINEERING & amp; MANAGEMENT, JABALPUR",Private,CSE,DIPPPT,3169,3297,UR/X/OP,N,2,2026
50,Bansal College of Engineering Obedullaganj Raisen (2002),Private,MECH,DIPPPT,2601,2601,OBC/X/OP,Y,1,2026
51,Bansal College of Engineering Obedullaganj Raisen (2002),Private,MECH,DIPPPT,2111,2111,UR/X/OP,N,1,2026
52,Bansal College of Engineering Obedullaganj Raisen (2002),Private,ELECT ELEX,DIPPPT,374,2124,UR/X/OP,N,2,2026
53,Bansal College of Engineering Obedullaganj Raisen (2002),Private,EC,DIPPPT,2433,2433,UR/X/OP,N,1,2026
54,Bansal College of Engineering Obedullaganj Raisen (2002),Private,CIVIL,DIPPPT,918,2689,UR/X/OP,N,5,2026
55,Bansal College of Engineering Obedullaganj Raisen (2002),Private,CSE,DIPPPT,175,3095,UR/X/OP,N,4,2026
56,Bansal College of Engineering Obedullaganj Raisen (2002),Private,CSEIML,DIPPPT,1810,3209,UR/X/OP,N,3,2026
57,Bansal Institute of Research & Technology Bhopal (2007),Private,EC,DIPPPT,2809,2809,OBC/X/OP,Y,1,2026
58,Bansal Institute of Research & Technology Bhopal (2007),Private,CSE,DIPPPT,1742,3226,OBC/X/OP,Y,6,2026
59,Bansal Institute of Research & Technology Bhopal (2007),Private,MECH,DIPPPT,3347,3347,OBC/X/OP,Y,1,2026
60,Bansal Institute of Research & Technology Bhopal (2007),Private,ELECT ELEX,DIPPPT,3384,3384,OBC/X/OP,Y,1,2026
61,Bansal Institute of Research & Technology Bhopal (2007),Private,CSE,DIPPPT,2260,2979,SC/X/OP,Y,2,2026
62,Bansal Institute of Research & Technology Bhopal (2007),Private,ELECT ELEX,DIPPPT,3490,3490,SC/X/OP,Y,1,2026
63,Bansal Institute of Research & Technology Bhopal (2007),Private,EC,DIPPPT,477,477,UR/X/OP,N,1,2026
64,Bansal Institute of Research & Technology Bhopal (2007),Private,CSE,DIPPPT,649,1709,UR/X/OP,N,10,2026
65,Bansal Institute of Research & Technology Bhopal (2007),Private,ELECT ELEX,DIPPPT,2458,2458,UR/X/OP,N,1,2026
66,Bansal Institute of Research & Technology Bhopal (2007),Private,MECH,DIPPPT,2324,2996,UR/X/OP,N,2,2026
67,Bansal Institute of Research & Technology Bhopal (2007),Private,EC,DIPPPT,642,642,UR/X/OP,N,1,2026
68,Bansal Institute of Research Technology & Science Bhopal (2008),Private,CSEIML,DIPPPT,1520,2750,OBC/X/OP,Y,2,2026
69,Bansal Institute of Research Technology & Science Bhopal (2008),Private,CSEIML,DIPPPT,405,1234,UR/X/OP,N,3,2026
70,Bansal Institute of Research Technology & Science Bhopal (2008),Private,CSE,DIPPPT,940,2870,UR/X/OP,N,6,2026
71,Bansal Institute of Research Technology & Science Bhopal (2008),Private,CSEIML,DIPPPT,3294,3294,UR/X/OP,N,1,2026
